,2022/1/,2022/2/,2022/3/,2022/4/,2022/5/,2022/6/,2022/7/,2022/8/,2022/9/,2022/10/,2022/11/
ALL,1082695,2106113,1475036,1249639,940734,469555,3463299,6173065,2322437,1031165,2348433
Hokkaido,28862,73823,48780,65147,61402,21520,75862,193024,97175,89069,221141
Aomori,3879,10848,15003,11587,8848,6184,27589,50324,21700,10883,29654
Iwate,1266,6074,7315,9219,7031,3284,16575,36538,17469,12222,32442
Miyagi,5276,18787,17552,16234,12660,7070,40241,91633,33866,22918,75008
Akita,1972,5243,6699,8281,5349,1617,13401,36194,19042,12854,28870
Yamagata,2122,5379,5748,3689,3207,1099,11531,40249,23862,18046,38032
Fukushima,3473,10180,10874,15029,11375,3215,21038,65226,34243,19731,56270
Ibaraki,13880,36164,41720,29110,14112,6353,43429,108981,46338,21690,48872
Tochigi,8059,17380,14484,17245,10009,3113,33692,67197,29352,15080,41705
Gunma,12264,20022,16943,14318,9910,3864,35311,70918,32445,17600,43240
Saitama,63554,146532,113108,80436,37787,19048,194479,300284,126143,48807,121223
Chiba,52001,112188,82541,57735,26468,14504,157481,225025,100851,39288,91098
Tokyo,207692,394030,247810,184860,100826,58999,567960,759118,243973,100143,242633
Kanagawa,88934,182909,136134,87634,47099,25740,245973,330326,130770,60960,149087
Niigata,7861,12739,13453,16755,11077,3712,32406,87341,38285,19747,56614
Toyama,2009,9762,9540,3864,4998,3005,19029,48811,21098,11632,24401
Ishikawa,4582,12010,10210,8852,12237,4304,22923,54588,24187,12220,25458
Fukui,2560,7359,8553,5902,8138,3842,18287,39085,17885,6822,17343
Yamanashi,3988,7650,6681,5443,3969,1917,15780,35047,10751,7091,21274
Nagano,8537,13462,13156,17919,11370,4275,28053,68287,34176,27100,71094
Gifu,9707,23309,15528,16651,15278,7692,41051,101620,40183,19107,47220
Shizuoka,20173,39037,31326,23071,22061,8785,81839,164237,66001,26495,52778
Aichi,71846,146834,89324,69492,57679,28250,224421,414797,154893,50237,145077
Mie,7807,18413,14878,15440,10859,5149,38489,89796,38192,15074,29465
Shiga,10940,25881,19645,11681,9481,4733,32618,74172,31405,12414,25225
Kyoto,29546,54498,29329,25020,22329,9351,76233,138635,49973,14801,32159
Osaka,147435,276012,135751,93404,74630,39229,357031,546697,178340,70899,115287
Hyogo,56689,113598,64059,45677,36798,18517,159907,301268,103314,35596,63345
Nara,11736,28182,17778,9684,7611,3569,31958,68302,26016,9922,18368
Wakayama,5772,10032,4747,6177,5609,2267,21516,50076,16992,9221,15465
Tottori,1603,2611,2292,2642,2602,1127,12082,25590,8853,5871,11981
Shimane,2437,2176,2996,4416,3180,2670,23142,27571,12230,7002,15581
Okayama,10312,21566,13853,16823,17393,6172,32676,94642,43067,18025,35571
Hiroshima,28378,24687,23394,30154,30949,11961,44316,151411,65530,31532,67360
Yamaguchi,6944,7584,8437,7115,8147,4578,23691,66694,23876,11823,19625
Tokushima,1518,5958,5320,2616,3379,2337,10998,43169,14365,4529,9827
Kagawa,3810,9929,11062,9428,8821,2652,19398,52211,19857,8809,17047
Ehime,4817,6445,7939,8036,5971,4835,26918,67554,23137,9998,20877
Kochi,1562,5667,4809,4091,5833,2905,12908,41370,15385,4218,8613
Fukuoka,52436,91134,62863,64507,54119,23898,204498,331275,94571,30585,59432
Saga,5307,11427,8694,11916,7511,4482,30635,53068,16539,5967,13662
Nagasaki,7646,10540,7813,11199,11001,7039,32505,87465,26422,8197,15641
Kumamoto,12982,19796,15873,16602,15899,11577,76071,107403,36183,13228,24030
Oita,4773,10084,8516,11389,10051,4126,33874,62192,21631,8105,15356
Miyazaki,5140,7228,7102,14533,12687,5856,34617,75912,26168,7483,12164
Kagoshima,6506,14024,12566,19974,18494,10726,53589,111910,40063,9111,12082
Okinawa,32102,16920,22838,38642,54490,38407,105278,115832,25640,9013,9736
