専攻,性別,犬・猫,山・海,和食・洋食,説明,演習の分量,統計分析,必要性,Python,形式科学,人文科学,社会科学,自然科学,語学,情報科学,芸術・デザイン,対話,音楽鑑賞,動画視聴,ゲーム,Web閲覧,読書,自然
地域,女性,猫派,海派,和食派,4,3,4,4,3,2,5,5,4,2,2,5,5,5,5,2,5,4,4
地域,女性,猫派,海派,和食派,5,3,4,5,5,4,4,5,5,5,5,5,2,3,3,2,3,4,1
情報,男性,犬派,山派,洋食派,3,3,2,4,4,1,1,2,2,2,4,5,4,3,3,2,5,3,1
情報,男性,犬派,海派,洋食派,3,4,2,3,4,2,5,4,5,4,2,5,2,5,5,5,3,1,1
地域,女性,猫派,山派,和食派,3,4,2,2,2,1,4,4,1,5,4,5,4,3,5,1,5,1,1
地域,女性,犬派,海派,洋食派,4,3,4,4,5,2,5,5,3,2,4,5,4,4,4,1,4,2,2
情報,女性,犬派,海派,洋食派,3,4,2,2,3,1,1,1,1,1,1,5,2,5,5,1,2,1,1
情報,男性,猫派,海派,洋食派,4,3,2,4,5,3,4,2,4,1,4,5,2,5,5,3,4,2,2
地域,女性,犬派,海派,和食派,2,4,1,4,3,1,3,3,1,4,3,5,3,5,5,1,1,1,1
情報,女性,猫派,山派,洋食派,3,3,2,2,4,1,4,1,4,4,4,5,5,4,5,4,5,2,3
地域,男性,猫派,海派,和食派,2,3,2,3,4,2,4,3,4,4,2,5,5,5,3,3,5,1,4
情報,男性,猫派,海派,和食派,4,3,3,4,4,3,4,3,4,3,4,5,3,4,4,3,3,1,3
情報,女性,犬派,山派,洋食派,3,3,2,1,1,1,2,4,1,2,2,4,4,5,5,1,2,1,1
情報,女性,犬派,海派,和食派,3,3,3,4,4,2,4,2,3,2,4,5,1,3,4,1,1,1,1
情報,女性,猫派,山派,和食派,4,2,2,4,5,1,4,1,1,1,2,5,1,1,5,5,5,3,2
地域,男性,犬派,山派,和食派,4,3,2,2,4,4,2,2,2,2,2,3,3,3,4,4,2,1,1
情報,女性,猫派,海派,洋食派,4,4,2,4,4,3,4,4,4,5,3,5,4,5,4,2,5,2,4
地域,男性,猫派,海派,洋食派,3,4,2,4,5,2,5,5,2,3,4,4,5,1,4,5,4,1,2
情報,女性,犬派,海派,和食派,5,3,5,2,3,3,5,5,3,5,4,5,5,5,4,2,5,3,5
地域,女性,猫派,山派,洋食派,4,3,2,4,4,2,5,2,5,4,2,5,5,5,5,3,5,3,4
情報,女性,犬派,海派,和食派,4,3,4,4,5,4,3,4,5,4,4,5,2,5,5,1,4,1,1
情報,女性,猫派,海派,和食派,4,3,4,5,5,2,5,5,5,5,4,3,3,5,5,1,1,1,1
情報,女性,猫派,海派,和食派,3,3,4,3,3,3,2,2,3,3,3,4,3,5,4,1,5,3,3
情報,男性,犬派,海派,洋食派,4,3,3,5,4,3,3,3,3,2,3,5,5,3,2,5,2,2,1
地域,女性,犬派,海派,和食派,2,4,3,4,4,2,3,3,4,2,3,5,3,2,2,1,3,3,2
情報,女性,犬派,山派,和食派,4,4,4,4,5,2,4,4,2,3,4,5,2,4,2,2,2,1,1
情報,男性,犬派,海派,和食派,4,5,3,4,4,2,2,2,2,3,5,5,3,3,4,2,4,1,4
情報,女性,犬派,山派,洋食派,4,3,4,5,5,2,5,2,5,3,4,5,2,5,5,3,3,2,2
情報,男性,犬派,海派,洋食派,4,4,4,4,3,3,1,1,3,3,4,4,5,5,5,5,5,2,2
情報,女性,犬派,山派,和食派,3,3,3,3,4,3,4,4,4,4,3,5,1,5,4,1,3,4,1
地域,女性,犬派,海派,和食派,2,4,2,4,4,4,4,1,5,5,1,5,3,3,5,5,1,3,1
